Tomato;Lettuce;Beer;Champagne;Mineral_Water;Emmental_Cheese;Parmesan;Cheese;Spinach;Mushrooms;Spaghetti;Joghurt;Milk;Caviar
;"X";"X";;"X";;"X";;"X";"X";"X";;"X";
;"X";"X";;;;;;;;;;;
;;;;"X";"X";"X";;;"X";"X";;;
;;;;;"X";;;"X";"X";;;"X";
;"X";;;;;"X";;;"X";"X";;;
"X";;;;"X";;;"X";"X";"X";"X";;;
;;;;;;;;;;;;;
;"X";;;"X";;;;;"X";"X";;;
;;;;;"X";"X";;"X";"X";"X";"X";;
;"X";;;;;;;;;;"X";;
;"X";;"X";;"X";;;;"X";;;;"X"
;;;;;;"X";;"X";"X";"X";;;
"X";;"X";;;;;;;;;"X";;
"X";;;;"X";;;;;"X";"X";;;
;;;;;;"X";;"X";"X";"X";"X";"X";
;;"X";;"X";;;;;;"X";;;
;;;"X";;"X";;;;;;;;"X"
"X";"X";;;;;;;;"X";;;;
;"X";;;;"X";;;"X";"X";;"X";;
;;"X";;"X";;"X";;"X";"X";"X";;"X";
"X";"X";;"X";"X";"X";;;;;"X";;;
;;;;;;"X";;"X";"X";"X";;;
"X";;;;;;;;;;;"X";;
;"X";"X";;;"X";;"X";;"X";;"X";;
;;;;;;;"X";;;;;"X";
;"X";"X";;"X";;"X";;"X";"X";"X";;"X";"X"
;;"X";"X";;;"X";;;"X";"X";;;"X"
;"X";;;"X";;;;;"X";;;;
;;"X";;"X";;;;;;"X";;;
;;;;;"X";"X";;;"X";"X";"X";"X";
"X";;;;"X";;;"X";;"X";"X";;;
;;;;;;;;;;;"X";;
"X";;;;;;"X";;"X";;"X";"X";"X";
;"X";;;;;"X";;;"X";;;"X";
;;;;;"X";;;;;;;;
"X";;"X";;;;"X";;;;"X";;;
;;"X";;;;;"X";;;;;;
;;;;;"X";;;"X";;;"X";"X";
;;"X";;;"X";;;;;;;"X";
;;;;;;"X";;;;;;;
;;;;;;"X";;;;;"X";;
;"X";;;;"X";;"X";;"X";;;;
;;;;;;;;"X";;;"X";;
;"X";;;"X";;"X";;;"X";"X";;;
;"X";"X";;"X";;"X";;"X";"X";"X";;"X";
;;;;;;"X";"X";;;"X";;;
;"X";;;"X";;;"X";;"X";"X";;;
;;;;"X";;;;"X";;"X";;;
;;;"X";;;"X";;;"X";"X";"X";"X";"X"
;;"X";;;;"X";;"X";"X";"X";;"X";
