CUST_ID,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PAYMENTS
C10001,0.002147794538759056,0.0019453677917648953,0.166667,0.003978631353655269
C10002,0.16816909701674723,0.0,0.0,0.08089338728282809
C10003,0.13102613595644605,0.015766247542545745,1.0,0.012264364146940043
C10004,0.08752079058547794,0.030567152199744003,0.083333,0.0
C10005,0.042940103199039056,0.00032626713488719417,0.083333,0.013373716974826266
C10006,0.09503836488390284,0.02718784035014989,0.666667,0.027602855383052818
C10007,0.03293894039701825,0.14459771975977767,1.0,0.12527855865136514
C10008,0.09576429522130202,0.008894857764862131,1.0,0.01338811558763529
C10009,0.05329617645758494,0.017567242127123055,0.333333,0.013569764178915764
C10010,0.007993744020733525,0.02613399750446425,0.166667,0.022964048246241986
C10011,0.06790503229946566,0.018762807259525317,1.0,0.02135783370748801
C10012,0.03312451579410238,0.030428080833498336,0.25,0.013911632315478874
C10013,0.07965749003088701,0.06562027358722762,1.0,0.011992229893648758
C10014,0.04840028685901658,0.04359601848058618,0.75,0.03264674700554736
C10015,0.1456048185157983,0.0,0.0,0.015883762079311553
C10016,0.3616112548518893,0.03286529633110568,0.5,0.039301675442955736
C10017,0.10880949836453849,0.0,0.0,0.007727979073835983
C10018,0.0021577057201226393,0.01058329018790336,0.416667,0.005019385182271215
C10019,0.1044508614865637,0.010284551842522274,0.666667,0.03392718940781388
C10020,0.18788766997240186,0.008128945665714442,1.0,0.02077976419812656
C10021,0.10590085660753602,0.0036028048369918415,0.666667,0.0043979115992478345
C10022,0.33447907223545403,0.12969016653286317,1.0,0.040968026038424595
C10023,0.0069496023243765135,0.016637584709653857,1.0,0.04652131210856606
C10024,0.19955488771069468,0.08663106140612571,1.0,0.18688420002864836
C10025,0.28191630292900627,0.0,0.0,0.028049785076317217
C10026,0.008915635333170626,0.008148521693807675,1.0,0.004244870767517711
C10027,0.08485824093063786,0.002079952984905863,0.166667,0.017550331457814053
C10028,0.006600530506248651,0.004756974826655291,1.0,0.004096365114665684
C10029,0.3756137334958298,0.00789260590988053,0.666667,0.03157337366562381
C10030,0.001158605758734762,0.0020391695930449634,0.416667,0.0031696189139212906
C10031,0.6373014575177255,0.0619501761536653,1.0,0.08340299239623816
C10032,0.06103370620016116,0.02748209252242628,1.0,0.012736187039621311
C10033,0.35355637637076565,0.006626281592599609,0.083333,0.03391302387178449
