Category;Item;Serving Size;Calories;Calories from Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein
Breakfast;Egg McMuffin;4.8 oz (136 g);300;120;5.0;0.0;260;750;31;4;3;17
Breakfast;Egg White Delight;4.8 oz (135 g);250;70;3.0;0.0;25;770;30;4;3;18
Breakfast;Sausage McMuffin;3.9 oz (111 g);370;200;8.0;0.0;45;780;29;4;2;14
Breakfast;Sausage McMuffin with Egg;5.7 oz (161 g);450;250;10.0;0.0;285;860;30;4;2;21
Breakfast;Sausage McMuffin with Egg Whites;5.7 oz (161 g);400;210;8.0;0.0;50;880;30;4;2;21
Breakfast;Steak & Egg McMuffin;6.5 oz (185 g);430;210;9.0;1.0;300;960;31;4;3;26
Breakfast;Bacon, Egg & Cheese Biscuit (Regular Biscuit);5.3 oz (150 g);460;230;13.0;0.0;250;1300;38;2;3;19
Breakfast;Bacon, Egg & Cheese Biscuit (Large Biscuit);5.8 oz (164 g);520;270;14.0;0.0;250;1410;43;3;4;19
Breakfast;Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit);5.4 oz (153 g);410;180;11.0;0.0;35;1300;36;2;3;20
Breakfast;Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit);5.9 oz (167 g);470;220;12.0;0.0;35;1420;42;3;4;20
Breakfast;Sausage Biscuit (Regular Biscuit);4.1 oz (117 g);430;240;12.0;0.0;30;1080;34;2;2;11
Breakfast;Sausage Biscuit (Large Biscuit);4.6 oz (131 g);480;280;13.0;0.0;30;1190;39;3;3;11
Breakfast;Sausage Biscuit with Egg (Regular Biscuit);5.7 oz (163 g);510;290;14.0;0.0;250;1170;36;2;2;18
Breakfast;Sausage Biscuit with Egg (Large Biscuit);6.2 oz (177 g);570;330;15.0;0.0;250;1280;42;3;3;18
Breakfast;Sausage Biscuit with Egg Whites (Regular Biscuit);5.9 oz (167 g);460;250;12.0;0.0;35;1180;34;2;3;18
Breakfast;Sausage Biscuit with Egg Whites (Large Biscuit);6.4 oz (181 g);520;280;13.0;0.0;35;1290;40;3;3;18
Breakfast;Southern Style Chicken Biscuit (Regular Biscuit);5 oz (143 g);410;180;8.0;0.0;30;1180;41;2;3;17
Breakfast;Southern Style Chicken Biscuit (Large Biscuit);5.5 oz (157 g);470;220;9.0;0.0;30;1290;46;3;4;17
Breakfast;Steak & Egg Biscuit (Regular Biscuit);7.1 oz (201 g);540;290;16.0;1.0;280;1470;38;2;3;25
Breakfast;Bacon, Egg & Cheese McGriddles;6.1 oz (174 g);460;190;9.0;0.0;250;1250;48;2;15;19
Breakfast;Bacon, Egg & Cheese McGriddles with Egg Whites;6.3 oz (178 g);400;140;7.0;0.0;35;1250;47;2;16;20
Breakfast;Sausage McGriddles;5 oz (141 g);420;200;8.0;0.0;35;1030;44;2;15;11
Breakfast;Sausage, Egg & Cheese McGriddles;7.1 oz (201 g);550;280;12.0;0.0;265;1320;48;2;15;20
Breakfast;Sausage, Egg & Cheese McGriddles with Egg Whites;7.2 oz (205 g);500;230;10.0;0.0;50;1320;46;2;15;21
Breakfast;Bacon, Egg & Cheese Bagel;6.9 oz (197 g);620;280;11.0;0.5;275;1480;57;3;7;30
Breakfast;Bacon, Egg & Cheese Bagel with Egg Whites;7.1 oz (201 g);570;230;9.0;0.5;60;1480;55;3;8;30
Breakfast;Steak, Egg & Cheese Bagel;8.5 oz (241 g);670;310;13.0;1.5;295;1510;56;3;7;33
Breakfast;Big Breakfast (Regular Biscuit);9.5 oz (269 g);740;430;17.0;0.0;555;1560;51;3;3;28
Breakfast;Big Breakfast (Large Biscuit);10 oz (283 g);800;470;18.0;0.0;555;1680;56;4;3;28
Breakfast;Big Breakfast with Egg Whites (Regular Biscuit);9.6 oz (272 g);640;330;14.0;0.0;35;1590;50;3;3;26
Breakfast;Big Breakfast with Egg Whites (Large Biscuit);10.1 oz (286 g);690;370;14.0;0.0;35;1700;55;4;4;26
Breakfast;Big Breakfast with Hotcakes (Regular Biscuit);14.8 oz (420 g);1090;510;19.0;0.0;575;2150;111;6;17;36
Breakfast;Big Breakfast with Hotcakes (Large Biscuit);15.3 oz (434 g);1150;540;20.0;0.0;575;2260;116;7;17;36
Breakfast;Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit);14.9 oz (423 g);990;410;16.0;0.0;55;2170;110;6;17;35
Breakfast;Big Breakfast with Hotcakes and Egg Whites (Large Biscuit);15.4 oz (437 g);1050;450;16.0;0.0;55;2290;115;7;18;35
Breakfast;Hotcakes;5.3 oz (151 g);350;80;2.0;0.0;20;590;60;3;14;8
Breakfast;Hotcakes and Sausage;6.8 oz (192 g);520;210;7.0;0.0;50;930;61;3;14;15
Breakfast;Sausage Burrito;3.9 oz (111 g);300;150;7.0;0.0;115;790;26;1;2;12
Breakfast;Hash Brown;2 oz (56 g);150;80;1.5;0.0;0;310;15;2;0;1
Breakfast;Cinnamon Melts;4 oz (114 g);460;170;9.0;0.0;15;370;66;3;32;6
Breakfast;Fruit & Maple Oatmeal;9.6 oz (251 g);290;35;1.5;0.0;5;160;58;5;32;5
Breakfast;Fruit & Maple Oatmeal without Brown Sugar;9.6 oz (251 g);260;40;1.5;0.0;5;115;49;5;18;5
Beef & Pork;Big Mac;7.4 oz (211 g);530;240;10.0;1.0;85;960;47;3;9;24
Beef & Pork;Quarter Pounder with Cheese;7.1 oz (202 g);520;240;12.0;1.5;95;1100;41;3;10;30
Beef & Pork;Quarter Pounder with Bacon & Cheese;8 oz (227 g);600;260;13.0;1.5;105;1440;48;3;12;37
Beef & Pork;Quarter Pounder with Bacon Habanero Ranch;8.3 oz (235 g);610;280;13.0;1.5;105;1180;46;3;10;37
Beef & Pork;Quarter Pounder Deluxe;8.6 oz (244 g);540;250;11.0;1.5;85;960;45;3;9;29
Beef & Pork;Double Quarter Pounder with Cheese;10 oz (283 g);750;380;19.0;2.5;160;1280;42;3;10;48
Beef & Pork;Hamburger;3.5 oz (98 g);240;70;3.0;0.0;30;480;32;1;6;12
Beef & Pork;Cheeseburger;4 oz (113 g);290;100;5.0;0.5;45;680;33;2;7;15
Beef & Pork;Double Cheeseburger;5.7 oz (161 g);430;190;10.0;1.0;90;1040;35;2;7;24
Beef & Pork;Bacon Clubhouse Burger;9.5 oz (270 g);720;360;15.0;1.5;115;1470;51;4;14;39
Beef & Pork;McDouble;5.2 oz (147 g);380;150;8.0;1.0;75;840;34;2;7;22
Beef & Pork;Bacon McDouble;5.7 oz (161 g);440;200;10.0;1.0;90;1110;35;2;7;27
