id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
73282;Clean, central, quiet;377532;Simona;Kreis 3;Sihlfeld;47.37374;8.51957;Entire home/apt;100;3;49;2019-04-27;0.46;1;85
143821;marvelous LOFT in SIHLCITY Zürich;697307;Erhan;Kreis 3;Alt-Wiedikon;47.35724;8.52304;Entire home/apt;200;3;0;;;1;362
178448;a lovely place, top location;854016;Delphine;Kreis 2;Enge;47.36565;8.52753;Private room;60;5;9;2016-05-10;0.08;1;187
204586;very nice luxury city apartment;1004816;Aicha;Kreis 10;Höngg;47.40656;8.48465;Private room;200;3;0;;;1;364
216395;city studio, modern meets colonial;1116961;Fabio;Kreis 3;Sihlfeld;47.3788;8.50766;Entire home/apt;210;1;0;;;1;365
222565;Bedroom overlooking the lake near;1155866;Ysabel;Kreis 2;Wollishofen;47.33463;8.54117;Private room;69;2;221;2020-08-12;1.95;1;363
227039;Luxury 3-Level Loft @ Trendy District;1184427;Lucas;Kreis 5;Escher Wyss;47.38942;8.51881;Entire home/apt;333;5;27;2020-08-14;0.24;1;173
272841;room with balcony, city centre;1427927;Anja;Kreis 5;Gewerbeschule;47.38326;8.52718;Private room;72;1;295;2020-11-26;2.62;1;365
283737;Best Location in Zurich Oldtown;1477771;Nuria;Kreis 1;Rathaus;47.37284;8.54324;Entire home/apt;111;3;243;2021-02-20;2.19;2;238
292351;120 sqM - 3 bedrooms + lounge in central Zurich;1513739;Anil;Kreis 3;Sihlfeld;47.37896;8.50787;Entire home/apt;210;5;9;2019-07-20;0.23;1;90
310964;Large Apartment - Center of Zurich;1266114;Kim;Kreis 1;Hochschulen;47.36802;8.54813;Entire home/apt;360;7;13;2019-01-06;0.12;1;56
420869;Zürich - we like it!;2093123;Mike;Kreis 9;Altstetten;47.39185;8.48432;Private room;59;1;95;2020-03-06;0.89;1;0
438084;superurbanes schönes helles und ruhiges Zimmer;1241750;Lia;Kreis 5;Escher Wyss;47.38938;8.51844;Private room;80;1;8;2020-09-13;0.41;1;363
551321;Zürich Charming Business/Holiday;2709967;Stephanie;Kreis 3;Alt-Wiedikon;47.37008;8.51368;Entire home/apt;115;2;22;2018-02-08;0.21;2;278
574264;Apartment Villa Feldpausch;2826108;Beatrice;Kreis 8;Weinegg;47.35406;8.57885;Entire home/apt;150;14;79;2020-07-24;0.75;2;56
577683;Modern Spacious Garden-Suite ZHR;1240329;Claudio;Kreis 10;Höngg;47.40419;8.49593;Entire home/apt;155;7;6;2018-04-16;0.06;1;146
582946;Large Corner Room @ The Swiss Villa;44391;Caroline & Roland;Kreis 7;Fluntern;47.37795;8.55781;Private room;115;10;18;2019-02-23;0.17;3;178
597965;Bright & cozy apartment, downtown;2840051;Peter;Kreis 3;Alt-Wiedikon;47.36501;8.51506;Entire home/apt;49;2;18;2016-10-20;0.21;1;87
606954;Big and quiet bedroom in green area!;2659673;Esther;Kreis 3;Sihlfeld;47.36867;8.49841;Private room;50;2;4;2020-03-10;0.05;1;364
610348;Duplex  Flat, 120 m2 7-8  persons;3026473;Monica /Leandra;Kreis 11;Oerlikon;47.40703;8.55232;Entire home/apt;220;3;90;2020-11-21;0.87;1;255
620130;NB1: Charming 2-room apartment;3072679;Andrea;Kreis 10;Wipkingen;47.39232;8.52876;Entire home/apt;185;3;25;2020-02-08;0.43;5;333
644888;Great duplex in the heart of Zurich;3228273;Violetta;Kreis 4;Hard;47.38003;8.50829;Entire home/apt;80;150;15;2018-07-31;0.15;1;179
700637;Room Central Zurich-Perfect View!!;3594263;Sacha;Kreis 4;Langstrasse;47.3748;8.52668;Private room;120;10;27;2015-04-26;0.29;1;365
706972;NB2: good value 1-room apartment;3072679;Andrea;Kreis 10;Wipkingen;47.39354;8.53019;Entire home/apt;134;3;8;2020-03-17;0.12;5;302
706997;NB3: Beautiful 2-bedroom apartment;3072679;Andrea;Kreis 10;Wipkingen;47.3937;8.52998;Entire home/apt;165;3;12;2019-05-31;0.12;5;332
717172;Great Middle Room @ The Swiss Villa;44391;Caroline & Roland;Kreis 7;Fluntern;47.37954;8.5572;Private room;100;10;8;2018-09-02;0.08;3;301
743035;Guesthouse Im Sonnenbuehl/Uetliberg;3891818;Jacqueline;Kreis 3;Friesenberg;47.35468;8.48535;Entire home/apt;250;1;79;2020-01-03;0.85;1;301
815055;Quiet room in Zürich 5min to center;3693420;Nathalie;Kreis 2;Wollishofen;47.33715;8.53265;Private room;79;1;74;2019-06-26;0.76;1;365
834570;B&B in Penthouse Zürich-Seefeld;4365752;Natascha;Kreis 8;Seefeld;47.35494;8.5546;Private room;125;2;10;2017-08-09;0.11;1;85
898829;Top location and top apartment in Zürich;4797927;Pietro;Kreis 11;Seebach;47.42716;8.54595;Private room;57;1;180;2020-11-01;1.87;1;364
916032;Spacious loft - close to lake;3020958;Achill;Kreis 8;Weinegg;47.35223;8.56271;Entire home/apt;160;6;0;;;1;58
954808;Bright Corner Room At THE SWISS VILLA;44391;Caroline & Roland;Kreis 7;Fluntern;47.37858;8.55792;Private room;100;10;5;2019-10-03;0.08;3;1
1028631;Architect's loft seen in magazines centre Zurich;1145413;Jurgita;Kreis 4;Langstrasse;47.37449;8.52116;Entire home/apt;421;4;72;2020-07-25;0.75;1;87
1047164;Geniale Wohnung auf Zeit in ZH Aff.;5765151;Martin;Kreis 11;Affoltern;47.41868;8.50827;Entire home/apt;95;30;0;;;1;364
