OBJECTID;Borough;Type;Provider;Name;Location;Latitude;Longitude;X;Y;Location_T;Remarks;City;SSID;SourceID;Activated;BoroCode;BoroName;NTACode;NTAName;CounDist;Postcode;BoroCD;CT2010;BCTCB2010;BIN;BBL;DOITT_ID;Location (Lat, Long)
8641;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-25 41 AVENUE;40.755727;-73.944583;999603.226171;214613.274563;Indoor AP - Community Center - Computer Rm;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4746;"{'longitude': '-73.944583', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755727'}"
8642;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-43 41 AVENUE;40.755333;-73.944131;999728.543834;214469.807003;Indoor AP - Queens Public Library;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4747;"{'longitude': '-73.944131', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755333'}"
8643;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-05 41 AVENUE;40.755751;-73.945166;999441.701232;214621.916935;Indoor AP - North Management Office;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4748;"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8644;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-05 41 AVENUE;40.755751;-73.945166;999441.701232;214621.916935;Indoor AP - North Management Office;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4749;"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8645;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-05 41 AVENUE;40.755751;-73.945166;999441.701232;214621.916935;Indoor AP - North Maintenance Area;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4750;"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8646;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-05 41 AVENUE;40.755751;-73.945166;999441.701232;214621.916935;Indoor AP - North Maintenance Area;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4751;"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8647;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-05 41 AVENUE;40.755751;-73.945166;999441.701232;214621.916935;Indoor AP - North Maintenance Area;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4752;"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8648;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-06 41 AVENUE;40.75529;-73.945633;999312.423603;214453.878885;Indoor AP - South Management Office;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4753;"{'longitude': '-73.945633', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.75529'}"
8649;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;10-06 41 AVENUE;40.75529;-73.945633;999312.423603;214453.878885;Indoor AP - South Management Office;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433386.0;4004700100.0;4754;"{'longitude': '-73.945633', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.75529'}"
8650;QU;Free;Spot On Networks;QUEENS BRIDGE - JACOB A. RIIS Settlement House;41-15 VERNON BLVD;40.755636;-73.947657;998751.597297;214579.596481;Indoor AP - South Maintenance Area;Free - Up to 25 mbs Wi-Fi Service;Queens;Quensbridge Connected;NYC HOUSING AUTHORITY;2018-05-01T00:00:00;4;Queens;QN68;Queensbridge-Ravenswood-Long Island City;26.0;11101;401.0;25.0;4002500.0;4433410.0;4004650000.0;4755;"{'longitude': '-73.947657', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755636'}"
