Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;Weekend;VisitorType_New_Visitor;VisitorType_Other;VisitorType_Returning_Visitor
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;6;1;8;1;1;False;0;0;1
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;11;8;2;9;3;False;0;1;0
6;60.0;2;61.0;23;1031.7047619999998;0.0;0.007111111;33.14784917;0.0;3;4;2;9;10;True;0;0;1
10;143.58333330000002;1;92.0;245;7793.158684999999;0.001587302;0.004610177;59.42458922;0.0;11;3;2;1;8;False;0;0;1
5;138.5;0;0.0;11;578.3333332999999;0.05;0.072916667;0.0;0.0;5;1;1;1;4;False;0;0;1
6;86.0;0;0.0;12;905.5;0.0;0.026666667;23.639394600000003;0.0;12;4;5;1;1;False;0;0;1
4;37.5;2;82.0;4;96.625;0.0;0.0175;0.0;0.0;11;2;2;9;2;False;1;0;0
0;0.0;0;0.0;56;2749.15;0.000595238;0.023809524;0.0;0.0;11;2;2;1;8;False;0;0;1
3;86.75;2;51.0;11;145.66666669999998;0.007692308;0.023076923;0.0;0.0;12;1;1;1;2;False;1;0;0
1;4.0;0;0.0;4;151.0;0.0;0.08;0.0;1.0;5;2;2;3;1;True;0;0;1
2;4.0;0;0.0;10;284.0;0.0;0.016666667;33.32834503;0.0;3;2;5;1;8;False;1;0;0
8;164.4;0;0.0;33;865.8071428999999;0.0;0.012280702;61.61833364;0.0;12;2;2;5;2;False;1;0;0
8;103.5;0;0.0;64;1550.2111109999998;0.0;0.016086957;7.868950242;0.0;5;2;2;2;14;True;0;0;1
0;0.0;0;0.0;38;1633.833333;0.0;0.0078947369999999;0.0;0.0;5;2;2;1;1;True;0;0;1
7;109.0416667;0;0.0;35;1136.083333;0.0;0.013157895;46.21605051;0.0;11;3;2;3;3;False;0;0;1
0;0.0;0;0.0;13;153.58333330000002;0.0;0.020512821;0.0;0.0;5;2;2;4;13;False;0;0;1
0;0.0;0;0.0;16;824.2291667000001;0.0;0.045138889;0.0;0.0;12;2;2;3;2;False;0;0;1
1;139.0;3;871.4;137;7672.152381;0.00177305;0.011631206;37.72031898;0.0;10;2;2;4;2;False;0;0;1
6;206.03;0;0.0;129;3778.345;0.010687023;0.024611656;2.169469761;0.0;10;2;2;1;3;False;0;0;1
0;0.0;0;0.0;10;851.1666667000002;0.0;0.022222222;0.0;0.0;12;2;2;2;1;False;0;0;1
6;322.35;0;0.0;33;1845.394615;0.0;0.0097142859999999;39.42556512;0.0;7;2;2;1;1;False;0;0;1
0;0.0;0;0.0;30;677.9166667000001;0.0066666669999999;0.013333333;0.0;0.0;11;3;2;1;2;True;0;0;1
