City;E;N;Pop;Pop_Density;Area_Agri;Area_Live
Aadorf;2710800;1260900;0.021529352691585537;0.035415767733579635;0.583402734338146;0.18623633422611055
Aarau;2645800;1249000;0.05181370577582535;0.13772739625825992;0.12466219597628031;0.5057659875107177
Aarberg;2587800;1210500;0.011022876275828916;0.04559451368219757;0.48308187699339583;0.24085571368250178
Aarburg;2634900;1241100;0.01993255865421913;0.1482570326951859;0.21110590442996552;0.46968629960975217
Aarwangen;2625100;1232200;0.010994319601539205;0.03642705029739749;0.500443915214444;0.1541732665139849
Abtwil;2669500;1225200;0.002294052834606882;0.018132018836579663;0.7601972209816956;0.08443900116437231
Aclens;2528800;1157800;0.0012826706201795738;0.010788011048443001;0.74813639968449;0.17399783312578304
Acquarossa;2714600;1146700;0.004314437540604022;0.00229069424415226;0.2324619598160609;0.036452811083933244
Adelboden;2609200;1149100;0.007976831018259613;0.002986534624031775;0.4537470533163814;0.025575176302374547
Adligenswil;2670300;1213700;0.01299328680181906;0.06097231594186732;0.5557853070343699;0.2415755277149154
Adlikon;2694300;1271000;0.0016610465545182607;0.008280312999263136;0.6982589466997507;0.11182502871989392
Adliswil;2682200;1240700;0.04508146981202569;0.19031275255313046;0.22895078576442768;0.47311633292533695
Aedermannsdorf;2612900;1239400;0.0013778595344786145;0.0034981084900271653;0.5396357494855167;0.03734462415888669
Aefligen;2609000;1216000;0.002608176251793716;0.04193702429202741;0.7585827244909341;0.22959113910051018
Aegerten;2588600;1219000;0.00518779582929772;0.07878072383160235;0.40979381444312896;0.2951225873459258
Aesch (BL);2611900;1257500;0.024644409912021645;0.10923895735397224;0.5139035943611687;0.3681956604506982
Aesch (LU);2660800;1234200;0.002996071077562307;0.021317782611512053;0.7238221926818266;0.11718915642285435
Aesch (ZH);2675500;1243300;0.003971757449127475;0.02486235562111946;0.6271444684608778;0.09472574409816872
Aeschi (SO);2617000;1225500;0.0029913116318473552;0.01790490180336895;0.7009165920317753;0.12353232146668608
Aeschi bei Spiez;2619700;1167500;0.005340098092176185;0.005652212755263772;0.5066445349259376;0.052522051157039326
Aeugst am Albis;2679300;1235700;0.004714230980659992;0.019549030153749695;0.5588411849684662;0.13014797648939833
Affeltrangen;2719900;1265300;0.006201557766582504;0.014096954717901691;0.790750286376266;0.11424100155657828
Affoltern am Albis;2676800;1236800;0.029277730315527453;0.09068433828427998;0.4389814080541604;0.3153832778577356
Affoltern im Emmental;2622300;1212700;0.0026319734803684765;0.00750061765394248;0.7918859491762942;0.07819117502533188
Agarn;2617400;1127200;0.0017205396259551613;0.007377242958739514;0.18667786555719618;0.04458551571978468
Agiez;2528800;1174500;0.0008448016144039865;0.00507519735282086;0.6937671427161345;0.045277167596282065
Agno;2713100;1095000;0.01047791974146691;0.13747568781255845;0.23945455295437826;0.5611918523572713
Aigle;2563600;1129700;0.024266033977682958;0.04850439172766479;0.37088409873494976;0.2617157489999614
Aire-la-Ville;2492300;1116400;0.0027818960203894656;0.031143263134821953;0.4591208476752772;0.2070618153534284
Airolo;2689800;1153700;0.0035243695519219832;0.0012252659884868906;0.32239428617704896;0.028971711624718958
Alberswil;2642700;1222500;0.001568237363076696;0.014531129628031958;0.7888914630545705;0.08664345624400877
Albinen;2615000;1132100;0.0005711334857942444;0.0012039788929826597;0.5042535711691775;0.03436040407444063
Albula/Alvra;2768800;1172100;0.0030531844261417317;0.001066202161358543;0.306658518970474;0.02866662569611925
Alchenstorf;2615500;1219200;0.0013707203659061866;0.0068434380204139165;0.6579846218513317;0.07777375295419395
Allaman;2519900;1147100;0.0010732550087216844;0.013540054686754534;0.6497631652490663;0.23024634288926013
Alle;2576800;1252800;0.004526232874919387;0.014006249934206893;0.6997918784853557;0.13322753423455116
Allmendingen;2606600;1195900;0.0014064162087683268;0.012108204004047942;0.7130629768568182;0.10090783427185529
Allschwil;2607300;1266700;0.05018835506416923;0.1851791316252168;0.32010829946565217;0.4419626626104187
Alpnach;2663600;1199200;0.01440446245630234;0.00878551249260512;0.34714096115910453;0.05424484488525444
Alpthal;2697000;1214100;0.0014778078944926074;0.0021186187155089464;0.3429834889342594;0.017927968859493847
Altbüron;2633600;1225600;0.0024082795317657306;0.01170291266411377;0.6651018655257345;0.09945087190463318
Altdorf (UR);2691800;1192900;0.022695416891748785;0.07291271414111815;0.3742703074195696;0.2522495127616799
Altendorf;2705500;1227700;0.016798463650923214;0.026997117801753824;0.5602649806839654;0.10894173640995759
Altikon;2701000;1270000;0.0016610465545182607;0.007075903832824518;0.7441132816946997;0.06401052228086788
Altishofen;2639600;1228000;0.00466187707779552;0.010678460425852127;0.7259803886344574;0.07461938414072924
Altnau;2736800;1274800;0.005437666729332702;0.026502592844395448;0.7410081890533858;0.1654877101720342
Alto Malcantone;2713200;1100700;0.0033125742176066176;0.004925507124215418;0.1704068567052472;0.03588803902687588
Altstätten;2758700;1249600;0.02826396837824267;0.023494537487222907;0.6632389272184719;0.1395669263093687
Amden;2729800;1223400;0.004338234769178781;0.0033062190999057074;0.4034463265955492;0.03248861196889758
Amlikon-Bissegg;2721900;1270100;0.0031912083518753406;0.007238985543045117;0.7429110315524019;0.08692766439880512
