CUST_ID;BALANCE;PURCHASES;PURCHASES_FREQUENCY;PAYMENTS
C10001;0.002147794538759;0.0019453677917648;0.166667;0.0039786313536552
C10002;0.1681690970167472;0.0;0.0;0.080893387282828
C10003;0.131026135956446;0.0157662475425457;1.0;0.01226436414694
C10004;0.0875207905854779;0.030567152199744;0.083333;0.0
C10005;0.042940103199039;0.0003262671348871;0.083333;0.0133737169748262
C10006;0.0950383648839028;0.0271878403501498;0.666667;0.0276028553830528
C10007;0.0329389403970182;0.1445977197597776;1.0;0.1252785586513651
C10008;0.095764295221302;0.0088948577648621;1.0;0.0133881155876352
C10009;0.0532961764575849;0.017567242127123;0.333333;0.0135697641789157
C10010;0.0079937440207335;0.0261339975044642;0.166667;0.0229640482462419
C10011;0.0679050322994656;0.0187628072595253;1.0;0.021357833707488
C10012;0.0331245157941023;0.0304280808334983;0.25;0.0139116323154788
C10013;0.079657490030887;0.0656202735872276;1.0;0.0119922298936487
C10014;0.0484002868590165;0.0435960184805861;0.75;0.0326467470055473
C10015;0.1456048185157983;0.0;0.0;0.0158837620793115
C10016;0.3616112548518893;0.0328652963311056;0.5;0.0393016754429557
C10017;0.1088094983645384;0.0;0.0;0.0077279790738359
C10018;0.0021577057201226;0.0105832901879033;0.416667;0.0050193851822712
C10019;0.1044508614865637;0.0102845518425222;0.666667;0.0339271894078138
C10020;0.1878876699724018;0.0081289456657144;1.0;0.0207797641981265
C10021;0.105900856607536;0.0036028048369918;0.666667;0.0043979115992478
C10022;0.334479072235454;0.1296901665328631;1.0;0.0409680260384245
C10023;0.0069496023243765;0.0166375847096538;1.0;0.046521312108566
C10024;0.1995548877106946;0.0866310614061257;1.0;0.1868842000286483
C10025;0.2819163029290062;0.0;0.0;0.0280497850763172
C10026;0.0089156353331706;0.0081485216938076;1.0;0.0042448707675177
C10027;0.0848582409306378;0.0020799529849058;0.166667;0.017550331457814
C10028;0.0066005305062486;0.0047569748266552;1.0;0.0040963651146656
C10029;0.3756137334958298;0.0078926059098805;0.666667;0.0315733736656238
C10030;0.0011586057587347;0.0020391695930449;0.416667;0.0031696189139212
C10031;0.6373014575177255;0.0619501761536653;1.0;0.0834029923962381
C10032;0.0610337062001611;0.0274820925224262;1.0;0.0127361870396213
C10033;0.3535563763707656;0.0066262815925996;0.083333;0.0339130238717844
C10034;0.0065987259717759;0.012985228051551;0.916667;0.008348527447325
C10035;0.1846912789569074;0.0111599673488164;1.0;0.1722269787142913
C10036;0.0869788756607146;0.0;0.0;0.0069300062954625
C10037;0.390013280510416;0.0;0.0;0.032261706334292
C10038;0.2125427389632983;0.0485434517472318;0.75;0.031897616331858
C10039;0.329221893977544;0.0041599059698117;0.083333;0.0243902894601779
C10040;0.0741265535380319;0.0196420971880463;0.083333;0.3957115232128337
C10041;0.0348392050979226;0.0;0.0;0.0604686146150596
C10043;0.0412164076592214;0.0311297590904651;0.583333;0.0248870810232549
C10044;0.2155480193071703;0.0041562354645442;0.083333;0.0171184913666136
C10045;0.0714557830219348;0.0;0.0;0.0074582642687128
C10046;0.2791528075716527;0.031106308640145;1.0;0.0281999146367236
C10047;0.1177490611085487;0.0089111711216064;0.333333;0.0
