name;mpg;cylinders;displacement;horsepower;weight;acceleration;year
chevrolet chevelle malibu;18.0;8;307.0;130;3504.0;12.0;
buick skylark 320;15.0;8;350.0;165;3693.0;11.5;70.0
plymouth satellite;18.0;8;318.0;150;3436.0;;70.0
amc rebel sst;16.0;8;304.0;150;3433.0;12.0;70.0
ford torino;17.0;8;302.0;140;;10.5;70.0
ford galaxie 500;15.0;8;429.0;198;;10.0;70.0
chevrolet impala;14.0;8;454.0;220;;9.0;70.0
plymouth fury iii;14.0;8;440.0;215;4312.0;8.5;70.0
pontiac catalina;14.0;8;455.0;225;4425.0;10.0;70.0
amc ambassador dpl;15.0;8;;190;3850.0;8.5;
dodge challenger se;15.0;8;383.0;170;3563.0;10.0;70.0
plymouth 'cuda 340;14.0;8;;160;;;70.0
chevrolet monte carlo;15.0;8;400.0;150;3761.0;9.5;70.0
buick estate wagon (sw);14.0;8;455.0;225;3086.0;10.0;70.0
toyota corona mark ii;24.0;4;113.0;95;2372.0;15.0;70.0
plymouth duster;22.0;6;198.0;95;2833.0;15.5;
amc hornet;18.0;6;;97;2774.0;15.5;70.0
ford maverick;21.0;6;200.0;85;;16.0;70.0
datsun pl510;27.0;4;97.0;88;;14.5;70.0
volkswagen 1131 deluxe sedan;26.0;4;97.0;46;1835.0;20.5;70.0
peugeot 504;25.0;4;;87;2672.0;17.5;70.0
audi 100 ls;24.0;4;107.0;90;2430.0;14.5;70.0
saab 99e;25.0;4;104.0;95;2375.0;17.5;70.0
bmw 2002;26.0;4;121.0;113;2234.0;12.5;70.0
amc gremlin;21.0;6;199.0;90;2648.0;15.0;70.0
ford f250;10.0;8;360.0;215;4615.0;14.0;70.0
chevy c20;10.0;8;307.0;200;4376.0;15.0;70.0
dodge d200;11.0;8;318.0;210;4382.0;13.5;70.0
hi 1200d;9.0;8;304.0;193;4732.0;18.5;70.0
datsun pl510;27.0;4;97.0;88;2130.0;14.5;71.0
chevrolet vega 2300;28.0;4;140.0;90;2264.0;;71.0
toyota corona;25.0;4;113.0;95;2228.0;14.0;71.0
amc gremlin;19.0;6;232.0;100;2634.0;13.0;71.0
plymouth satellite custom;16.0;6;225.0;105;3439.0;15.5;
chevrolet chevelle malibu;17.0;6;250.0;100;3329.0;15.5;71.0
ford torino 500;19.0;6;250.0;88;3302.0;15.5;71.0
amc matador;18.0;6;232.0;100;3288.0;15.5;71.0
chevrolet impala;14.0;8;;165;4209.0;12.0;71.0
pontiac catalina brougham;14.0;8;400.0;175;4464.0;11.5;71.0
ford galaxie 500;14.0;8;351.0;153;4154.0;13.5;71.0
plymouth fury iii;14.0;8;;150;4096.0;13.0;71.0
dodge monaco (sw);12.0;8;383.0;180;;11.5;71.0
ford country squire (sw);13.0;8;400.0;170;4746.0;12.0;
